loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,interest_rate,inflation_rate,season_of_application,loan_status
1,3, Not Graduate, Yes,6800000,16900000,18,628,3600000,900000,15600000,4900000,6.1525736,2.547616,Winter,approved
2,5, Not Graduate, No,7000000,21800000,4,631,8100000,7100000,14600000,10000000,5.12723,2.9044733,Summer,approved
3,2, Not Graduate, No,8400000,28300000,10,822,1800000,16000000,33000000,4400000,6.1477103,3.487231,Winter,approved
4,1, Graduate, Yes,9600000,34100000,20,828,26100000,19000000,20800000,12400000,4.959403,2.247446,Summer,approved
5,2, Graduate, No,9600000,22500000,18,851,7400000,16200000,24300000,12700000,2.8975024,1.7812792,Spring,approved
6,5, Not Graduate, No,3900000,14900000,12,837,1100000,500000,14400000,3600000,6.361672,3.1992898,Winter,approved
7,1, Graduate, No,2100000,8100000,6,817,4600000,2900000,4900000,2900000,4.9377375,3.121804,Fall,approved
8,2, Not Graduate, Yes,200000,600000,8,552,400000,200000,700000,200000,4.03995,1.6982416,Summer,approved
9,2, Not Graduate, No,4400000,14200000,18,799,6300000,7800000,10800000,2400000,4.184851,1.7064831,Summer,approved
10,4, Not Graduate, No,3300000,9700000,14,782,2500000,0,10400000,2200000,4.60877,1.9147837,Summer,approved
11,3, Graduate, No,1600000,3500000,10,844,4500000,2200000,5200000,1600000,4.6019826,2.7511008,Summer,approved
12,2, Not Graduate, Yes,4100000,11400000,14,505,8100000,7500000,10100000,5500000,6.529627,0.8849288,Winter,rejected
13,1, Not Graduate, No,9900000,23400000,16,687,28200000,3700000,29600000,8200000,7.6593876,3.369195,Winter,approved
14,1, Graduate, No,7900000,15800000,8,551,800000,3500000,18700000,8300000,2.9330516,3.6077867,Fall,approved
15,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,4.77838,3.4003766,Fall,rejected
16,3, Graduate, Yes,1900000,5900000,8,651,700000,2100000,6200000,1500000,5.822122,1.7763101,Summer,approved
17,1, Graduate, Yes,9700000,34300000,20,756,15700000,18500000,26800000,14100000,6.956897,1.6465603,Winter,approved
18,1, Graduate, Yes,600000,1900000,8,445,1200000,100000,1600000,300000,6.6807876,2.7425833,Winter,rejected
19,1, Not Graduate, No,1400000,3300000,8,306,3200000,800000,2700000,800000,4.050239,2.9687815,Summer,rejected
20,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,4.666568,1.8863161,Summer,approved
21,0, Not Graduate, No,6900000,23500000,2,621,7800000,7300000,23100000,9400000,3.71507,1.2554358,Spring,approved
22,4, Graduate, Yes,9700000,33300000,12,784,14600000,15800000,37900000,6500000,3.7828279,2.425193,Spring,approved
23,4, Graduate, Yes,1200000,4800000,2,752,2800000,900000,3000000,600000,5.693951,1.4804382,Summer,approved
24,0, Graduate, No,1400000,5400000,8,592,4100000,400000,4300000,800000,3.7678216,3.206642,Fall,approved
25,5, Graduate, Yes,2400000,6800000,8,464,1900000,1300000,9500000,1900000,3.1698298,2.1831253,Spring,rejected
26,3, Not Graduate, No,7500000,25200000,8,316,1000000,800000,18300000,9000000,3.1204307,2.1421814,Spring,rejected
27,2, Graduate, Yes,8700000,26400000,2,778,8500000,2400000,28800000,10300000,7.1455317,1.8854399,Winter,approved
28,2, Graduate, No,3000000,7000000,4,588,5300000,3400000,11900000,3400000,5.29713,0.3718587,Summer,approved
29,4, Graduate, No,5800000,14700000,10,692,2300000,10100000,17700000,3900000,6.1466513,2.4873466,Winter,approved
30,0, Not Graduate, Yes,7300000,22600000,12,851,3300000,3400000,24800000,5300000,5.665823,2.7753055,Summer,approved
31,0, Graduate, Yes,5300000,12900000,20,826,15500000,6800000,12000000,5200000,4.5070896,2.506358,Summer,approved
32,0, Not Graduate, Yes,9300000,22200000,14,701,600000,10100000,35900000,5700000,1.2754637,1.8132001,Spring,approved
33,1, Not Graduate, Yes,1300000,4500000,14,679,2700000,2100000,3700000,1600000,5.441618,3.1662104,Fall,approved
34,0, Not Graduate, No,9000000,35100000,6,898,500000,16200000,20700000,9100000,3.2518666,3.1836972,Fall,approved
35,5, Graduate, No,1600000,4000000,18,529,300000,1200000,5300000,2000000,6.744822,0.7305107,Winter,rejected
36,0, Not Graduate, Yes,3700000,13100000,14,385,10600000,6800000,9200000,4900000,5.8389626,1.1523081,Summer,rejected
37,5, Graduate, Yes,1900000,6700000,2,622,4200000,200000,3900000,1700000,4.453216,2.4105463,Summer,approved
38,5, Not Graduate, Yes,600000,1700000,20,879,1100000,100000,2300000,700000,7.745251,3.1081388,Winter,approved
39,5, Not Graduate, No,4200000,12600000,18,571,8900000,3200000,11700000,6200000,5.7001033,3.0560915,Fall,approved
40,4, Graduate, Yes,7000000,27100000,12,881,8300000,9400000,17200000,9500000,4.1231685,1.3825482,Summer,approved
41,3, Not Graduate, Yes,8400000,27000000,8,746,15000000,8400000,27000000,12500000,6.2088966,0.78625846,Winter,approved
42,3, Not Graduate, No,4500000,16100000,16,671,10500000,3600000,12400000,5800000,3.7467878,3.652252,Fall,approved
43,5, Not Graduate, No,3800000,10500000,10,759,1800000,6700000,8100000,5300000,7.0199966,1.3262507,Winter,approved
44,4, Graduate, No,6200000,17300000,6,837,12600000,3700000,24700000,4600000,4.4749856,1.1108356,Summer,approved
45,0, Not Graduate, No,1500000,4900000,12,651,1600000,2800000,4600000,800000,7.031581,2.805602,Winter,approved
46,1, Not Graduate, Yes,3600000,13400000,16,732,5200000,6700000,7300000,3300000,4.078305,2.769571,Summer,approved
47,3, Not Graduate, No,4500000,11700000,18,775,8700000,2800000,12700000,4500000,6.7801485,1.9956121,Winter,approved
48,1, Graduate, Yes,8400000,26200000,14,643,19400000,11500000,17900000,6900000,1,2.2737074,Spring,approved
49,4, Not Graduate, Yes,1300000,3400000,2,763,3800000,200000,5100000,1400000,4.6785326,2.977628,Summer,approved
50,4, Graduate, Yes,5400000,21500000,14,555,4300000,1500000,14300000,7500000,5.813346,2.2894964,Summer,approved
51,5, Not Graduate, Yes,8900000,24800000,18,842,16200000,5000000,20000000,8100000,3.547217,1.9397738,Spring,approved
52,4, Not Graduate, No,4400000,17200000,4,563,4100000,3700000,12700000,2900000,3.725003,3.0835276,Fall,approved
53,5, Not Graduate, No,9000000,35200000,2,437,18400000,17800000,18300000,10400000,7.581182,0.9640517,Winter,approved
54,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,6.3145785,2.890636,Winter,approved
55,2, Not Graduate, No,3700000,9200000,10,819,8500000,2000000,10200000,3100000,6.601342,3.7546182,Winter,approved
56,4, Graduate, No,8000000,30100000,4,431,11900000,13800000,18800000,11500000,3.903249,3.5713873,Fall,approved
57,0, Graduate, Yes,5600000,19300000,6,407,3400000,3600000,14200000,8400000,2.3213465,3.2274823,Fall,rejected
58,4, Graduate, No,7100000,27200000,16,824,2400000,8000000,22400000,3900000,5.686366,4.7804704,Winter,approved
59,4, Not Graduate, Yes,9200000,30100000,6,632,23700000,6600000,34200000,6200000,5.1193595,2.0615144,Summer,approved
60,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,4.5721164,2.0409248,Summer,approved
61,5, Not Graduate, Yes,6500000,23900000,2,507,500000,10200000,15900000,8000000,5.3839073,2.2339067,Summer,approved
62,5, Graduate, Yes,3400000,11300000,20,871,6500000,3900000,9700000,2400000,6.3543744,3.1851645,Winter,approved
63,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,3.547217,1.9397738,Spring,approved
64,5, Graduate, Yes,5300000,18200000,16,546,14600000,7900000,13400000,4000000,5.3243766,3.2442207,Fall,rejected
65,1, Graduate, No,3100000,10600000,14,665,6200000,800000,9500000,3900000,4.5583,1.0172759,Summer,approved
66,3, Graduate, Yes,7700000,21800000,18,684,100000,600000,15600000,5500000,5.345232,1.8380576,Summer,approved
67,2, Graduate, Yes,5300000,14900000,6,504,10600000,2100000,17000000,3200000,5.0118,1.2460352,Summer,rejected
68,2, Not Graduate, No,6500000,23900000,18,457,1200000,12400000,18100000,7300000,5.224015,3.5812998,Fall,rejected
69,3, Graduate, No,300000,700000,20,735,900000,200000,900000,400000,5.529681,2.1363993,Summer,approved
70,4, Graduate, No,7100000,27200000,16,824,2400000,8000000,22400000,3900000,3.6060097,2.355705,Spring,approved
71,1, Graduate, No,800000,2400000,16,872,2400000,1200000,1900000,900000,7.7205167,1.9384636,Winter,approved
72,1, Not Graduate, No,6000000,13600000,12,589,9000000,300000,12600000,7100000,2.8555038,1.8665985,Spring,approved
73,4, Graduate, Yes,5300000,19200000,4,655,14200000,6900000,17800000,3900000,3.9945388,1.8450671,Spring,approved
74,5, Graduate, No,7100000,18200000,8,750,21000000,7900000,20800000,5300000,6.9472623,2.4674325,Winter,approved
75,0, Graduate, Yes,6100000,19200000,6,890,13900000,5900000,16700000,7600000,1,1.2227783,Spring,approved
76,4, Not Graduate, Yes,1600000,4800000,20,641,4200000,1000000,4100000,1400000,2.3913333,1.4958854,Spring,approved
77,5, Not Graduate, Yes,2000000,7400000,14,799,3600000,3700000,4300000,1100000,5.5551205,3.7521582,Fall,approved
78,4, Graduate, Yes,8500000,18600000,10,597,16600000,3200000,21000000,11600000,3.5740051,2.4415333,Spring,approved
79,0, Not Graduate, Yes,3300000,8900000,2,418,4200000,6000000,9300000,3700000,7.0109944,2.4244072,Winter,rejected
80,5, Graduate, Yes,5000000,16400000,14,525,13000000,9100000,15300000,3300000,5.6225286,4.6117826,Winter,rejected
81,5, Graduate, Yes,3800000,10300000,16,606,7700000,1900000,9900000,2700000,3.7005289,1.5031717,Spring,approved
82,4, Graduate, No,3700000,13200000,4,802,9800000,2400000,12500000,4300000,4.1760535,2.167127,Summer,approved
83,5, Not Graduate, Yes,6200000,22200000,20,819,13500000,6600000,21700000,8700000,5.5988,3.647899,Fall,approved
84,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000,1.7180327,1.106921,Spring,approved
85,1, Graduate, No,7800000,23900000,4,313,2600000,15300000,23000000,10900000,5.6693306,2.7137423,Summer,approved
86,0, Graduate, Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,3.352828,3.1460369,Fall,approved
87,3, Graduate, No,3900000,14900000,4,728,4700000,4000000,14900000,5500000,4.3346252,3.3268836,Fall,approved
88,3, Not Graduate, Yes,500000,1700000,2,811,500000,500000,1400000,200000,4.594762,0.9997616,Summer,approved
89,1, Not Graduate, Yes,4600000,13600000,18,487,11200000,8500000,15500000,5400000,3.8343894,1.8587092,Spring,rejected
90,0, Graduate, No,2800000,5600000,8,842,0,1300000,6100000,1900000,6.3415155,4.1028547,Winter,approved
91,4, Graduate, Yes,5100000,15700000,6,867,11200000,8300000,19200000,3600000,3.6360664,5,Winter,approved
92,4, Not Graduate, No,7400000,15400000,6,677,22000000,13500000,28900000,7400000,5.069269,2.3575737,Summer,approved
93,0, Graduate, No,7400000,20900000,6,635,15600000,14000000,21000000,7200000,1,3.191662,Fall,approved
94,2, Not Graduate, No,3700000,10900000,12,788,1700000,700000,12200000,2600000,4.16726,2.5154953,Summer,approved
95,4, Not Graduate, Yes,4000000,14500000,6,711,2400000,5700000,10900000,4100000,4.312777,2.1344416,Summer,approved
96,5, Not Graduate, No,9300000,22000000,4,822,20900000,10000000,24200000,12100000,4.529763,1.8386505,Summer,approved
97,5, Not Graduate, Yes,6900000,15700000,14,887,13800000,5300000,25200000,4500000,5.404446,1.7997425,Summer,approved
98,5, Graduate, No,4200000,9200000,12,870,3200000,2400000,12300000,5700000,6.110478,2.4702525,Winter,approved
99,1, Graduate, Yes,6700000,18800000,6,798,8700000,5900000,18000000,6100000,6.709399,1.5253637,Winter,approved
100,0, Graduate, Yes,800000,2100000,6,760,300000,100000,1600000,600000,3.5006492,2.2972214,Spring,approved
101,1, Graduate, No,1000000,3600000,4,570,1000000,1300000,3700000,1000000,3.4428036,3.9130101,Fall,approved
102,2, Graduate, No,6400000,16900000,16,472,11100000,6000000,16300000,4500000,5.5576973,2.4770138,Summer,rejected
103,2, Graduate, Yes,7800000,28900000,14,646,1800000,1800000,17700000,11000000,4.93066,2.4028447,Summer,approved
104,0, Graduate, Yes,2600000,8200000,8,722,3500000,4200000,7100000,3200000,3.7057781,3.0903041,Fall,approved
105,0, Not Graduate, No,8900000,19100000,2,725,8300000,15000000,19000000,8800000,5.042246,3.6817615,Fall,approved
106,1, Not Graduate, Yes,800000,2200000,4,852,900000,200000,2200000,1000000,3.2920063,2.6674256,Spring,approved
